iter	Passed	Remaining
0	10	3074
1	21	3272
2	39	3933
3	55	4131
4	71	4218
5	86	4226
6	101	4266
7	116	4264
8	133	4324
9	148	4316
10	164	4328
11	180	4334
12	196	4346
13	211	4329
14	228	4339
15	243	4328
16	259	4314
17	274	4295
18	290	4302
19	306	4292
20	322	4280
21	337	4269
22	353	4254
23	369	4250
24	384	4234
25	401	4233
26	416	4214
27	432	4204
28	448	4193
29	464	4182
30	480	4170
31	507	4247
32	522	4228
33	537	4208
34	552	4186
35	568	4171
36	583	4148
37	599	4131
38	614	4110
39	629	4088
40	644	4069
41	660	4055
42	675	4039
43	691	4023
44	737	4181
45	752	4157
46	767	4133
47	783	4112
48	814	4170
49	830	4150
50	846	4132
51	862	4111
52	876	4085
53	892	4067
54	910	4055
55	926	4035
56	943	4021
57	960	4006
58	974	3982
59	993	3972
60	1008	3952
61	1054	4048
62	1070	4025
63	1086	4006
64	1113	4026
65	1144	4059
66	1160	4036
67	1176	4012
68	1190	3984
69	1205	3961
70	1221	3938
71	1237	3919
72	1253	3896
73	1269	3876
74	1285	3857
75	1302	3838
76	1346	3899
77	1360	3871
78	1375	3847
79	1390	3822
80	1406	3802
81	1421	3779
82	1437	3758
83	1453	3737
84	1469	3716
85	1484	3694
86	1500	3673
87	1515	3650
88	1531	3630
89	1546	3607
90	1560	3583
91	1574	3560
92	1590	3539
93	1605	3518
94	1619	3495
95	1635	3476
96	1651	3455
97	1668	3438
98	1683	3418
99	1699	3399
100	1714	3378
101	1730	3358
102	1746	3340
103	1761	3319
104	1776	3299
105	1792	3279
106	1809	3263
107	1824	3243
108	1840	3225
109	1855	3205
110	1871	3187
111	1886	3166
112	1903	3149
113	1918	3129
114	1947	3132
115	1962	3113
116	1977	3092
117	1993	3074
118	2008	3054
119	2023	3035
120	2038	3015
121	2053	2995
122	2068	2976
123	2085	2959
124	2099	2939
125	2116	2922
126	2132	2904
127	2147	2886
128	2163	2867
129	2178	2848
130	2193	2830
131	2209	2811
132	2224	2792
133	2240	2775
134	2255	2756
135	2270	2737
136	2286	2720
137	2302	2703
138	2318	2685
139	2334	2667
140	2348	2647
141	2363	2629
142	2379	2612
143	2395	2594
144	2409	2575
145	2422	2555
146	2439	2538
147	2455	2521
148	2471	2504
149	2486	2486
150	2503	2470
151	2516	2450
152	2531	2432
153	2560	2427
154	2592	2424
155	2608	2407
156	2623	2389
157	2638	2371
158	2653	2352
159	2669	2336
160	2685	2318
161	2700	2300
162	2714	2281
163	2729	2263
164	2745	2246
165	2762	2229
166	2777	2212
167	2793	2194
168	2808	2177
169	2841	2172
170	2856	2154
171	2872	2137
172	2888	2120
173	2905	2104
174	2920	2086
175	2936	2068
176	2950	2050
177	2967	2033
178	2982	2016
179	2999	1999
180	3015	1982
181	3032	1966
182	3047	1948
183	3072	1937
184	3088	1919
185	3104	1902
186	3119	1884
187	3135	1867
188	3149	1849
189	3164	1832
190	3180	1815
191	3195	1797
192	3223	1786
193	3238	1769
194	3254	1752
195	3271	1735
196	3286	1718
197	3302	1701
198	3317	1683
199	3365	1682
200	3380	1665
201	3395	1647
202	3427	1637
203	3441	1619
204	3458	1602
205	3474	1585
206	3489	1567
207	3504	1550
208	3520	1532
209	3534	1514
210	3550	1497
211	3565	1479
212	3580	1462
213	3597	1445
214	3612	1428
215	3628	1411
216	3643	1393
217	3659	1376
218	3675	1359
219	3692	1342
220	3723	1330
221	3738	1313
222	3753	1295
223	3768	1278
224	3783	1261
225	3798	1243
226	3813	1226
227	3828	1209
228	3843	1191
229	3858	1174
230	3873	1157
231	3888	1139
232	3904	1122
233	3919	1105
234	3933	1088
235	3949	1071
236	3963	1053
237	3978	1036
238	3993	1019
239	4009	1002
240	4024	985
241	4038	967
242	4054	951
243	4069	934
244	4085	917
245	4100	900
246	4115	883
247	4129	865
248	4145	848
249	4160	832
250	4175	815
251	4190	798
252	4205	781
253	4221	764
254	4236	747
255	4252	730
256	4268	714
257	4282	697
258	4296	680
259	4316	664
260	4332	647
261	4348	630
262	4364	614
263	4380	597
264	4394	580
265	4409	563
266	4424	546
267	4439	530
268	4455	513
269	4470	496
270	4486	480
271	4502	463
272	4517	446
273	4532	430
274	4547	413
275	4592	399
276	4608	382
277	4622	365
278	4638	349
279	4654	332
280	4670	315
281	4684	299
282	4701	282
283	4715	265
284	4731	249
285	4747	232
286	4762	215
287	4776	199
288	4791	182
289	4810	165
290	4825	149
291	4840	132
292	4855	116
293	4870	99
294	4884	82
295	4898	66
296	4913	49
297	4928	33
298	4944	16
299	4959	0
